NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_wage_r,2025,0.1,yy_wage_r_res,pct
yy_wage_r,2026,0.2,yy_wage_r_res,pct
yy_wage_r,2027,0.2,yy_wage_r_res,pct
yy_wage_r,2028,0.2,yy_wage_r_res,pct
yy_wage_r,2029,0.2,yy_wage_r_res,pct
yy_wage_r,2030,0.1,yy_wage_r_res,pct
yy_ulc,2025,1.79473,yy_ulc_res,pct
yy_ulc,2026,1.320349,yy_ulc_res,pct
yy_ulc,2027,0.757323,yy_ulc_res,pct
yy_ulc,2028,0.768619,yy_ulc_res,pct
yy_ulc,2029,0.863104,yy_ulc_res,pct
yy_ulc,2030,0.8,yy_ulc_res,pct
yy_lcph,2024,5.360919,yy_lcph_res,pct
yy_lcph,2025,2.68912,yy_lcph_res,pct
yy_lcph,2026,2.323591,yy_lcph_res,pct
yy_lcph,2027,2.204,yy_lcph_res,pct
yy_lcph,2028,2.3042,yy_lcph_res,pct
yy_lcph,2029,2.4044,yy_lcph_res,pct
yy_lcph,2030,2.5,yy_lcph_res,pct
